"subject","stress_level","financial_issues","academic_performance","subject_career_choice"
"Arts and humanities","To a large extent","Never","Very often","Almost never"
"Computer science","Somewhat","Sometimes","Sometimes","Sometimes"
"Arts and humanities","To a large extent","Very often","Almost never","Sometimes"
"Arts and humanities","Somewhat","Almost never","Sometimes","Sometimes"
"Life sciences","Somewhat","Never","Sometimes","Fairly often"
"Physical science","Somewhat","Fairly often","Sometimes","Fairly often"
"Life sciences","To a large extent","Sometimes","Fairly often","Fairly often"
"Arts and humanities","To a large extent","Fairly often","Very often","Sometimes"
"Arts and humanities","To a large extent","Almost never","Very often","Fairly often"
"Arts and humanities","To a large extent","Sometimes","Fairly often","Fairly often"
"Social sciences","To a large extent","Fairly often","Fairly often","Sometimes"
"Engineering and technology","Completely","Sometimes","Very often","Very often"
"Life sciences","To a large extent","Very often","Very often","Fairly often"
"Clinical, pre-clinical and health","To a large extent","Sometimes","Fairly often","Never"
"Clinical, pre-clinical and health","Somewhat","Sometimes","Sometimes","Sometimes"
"Life sciences","To a large extent","Almost never","Sometimes","Sometimes"
"Engineering and technology","Somewhat","Never","Sometimes","Almost never"
"Arts and humanities","To a large extent","Fairly often","Fairly often","Sometimes"
"Life sciences","To a large extent","Sometimes","Sometimes","Sometimes"
"Life sciences","Completely","Sometimes","Very often","Very often"
"Education","To a large extent","Almost never","Fairly often","Fairly often"
"Physical science","Somewhat","Sometimes","Fairly often","Fairly often"
"Other","To a large extent","Very often","Very often","Very often"
"Life sciences","Completely","Almost never","Fairly often","Fairly often"
"Life sciences","To a large extent","Very often","Very often","Very often"
"Education","Somewhat","Almost never","Fairly often","Sometimes"
"Law","Completely","Sometimes","Very often","Very often"
"Psychology","To a large extent","Sometimes","Very often","Sometimes"
"Social sciences","Completely","Almost never","Very often","Very often"
"Other","Completely","Almost never","Fairly often","Fairly often"
"Social sciences","To a large extent","Fairly often","Very often","Very often"
"Life sciences","To a large extent","Almost never","Very often","Sometimes"
"Life sciences","Completely","Sometimes","Fairly often","Sometimes"
"Arts and humanities","To a small extent","Very often","Fairly often","Very often"
